experiment_name,model_name,accuracy,accuracy_interval_lower,accuracy_interval_upper,precision,precision_interval_lower,precision_interval_upper,recall,recall_interval_lower,recall_interval_upper,f1_score,f1_score_interval_lower,f1_score_interval_upper
experiment #112,SVM (EM),0.980169971671388,0.9940740806817118,0.997992117556331,0.9897304236200256,0.9923018074010334,0.9980270076585614,0.9834183673469388,0.9916987550605804,0.9971348238135074,0.9865642994241842,0.992202958458674,0.9973554307766468
experiment #112,Decision Tree,0.890462700661001,0.8126788480415127,0.8254735933751866,0.9651810584958216,0.753900411729661,0.7711562907737939,0.8839285714285714,0.7525851275411726,0.7777928872800257,0.9227696404793608,0.7536198899997646,0.7731364822933691
experiment #113,SVM (mean),0.980169971671388,0.9771378209997372,0.985846806456838,0.979874213836478,0.9727683208096431,0.9853743397147772,0.9936224489795918,0.9651825176868511,0.9793723378535714,0.986700443318556,0.96972472531171,0.9812807057993206
experiment #113,SVM (EM),0.9612842304060434,0.9861127496957174,0.9938658500118116,0.9684741488020177,0.9831067686132808,0.9932231307296132,0.979591836734694,0.9797445569752232,0.991242627799234,0.974001268230818,0.9816633048023612,0.99191778453025
experiment #113,Decision Tree,0.9688385269121812,0.9658215746729084,0.9763926422547232,0.9807938540332908,0.9517675778460728,0.9700576324444232,0.9770408163265306,0.9573176310040692,0.970370367960572,0.9789137380191694,0.9553585440424676,0.9690342996806224
experiment #114,SVM,0.9622285174693108,0.92910607840419,0.942848838313005,0.9525547445255474,0.907825595519555,0.9251166915412532,0.9987244897959184,0.904623630772846,0.9253965083986454,0.975093399750934,0.906439086494399,0.9249059864030786
experiment #114,Decision Tree,0.9773371104815864,0.9554340863458832,0.9724198209908502,0.9822335025380712,0.9396787718724972,0.9653071791573148,0.9872448979591836,0.9430817967481372,0.9633366291256428,0.9847328244274808,0.9417236323147342,0.9637004555425202
experiment #115,SVM,0.9782813975448535,0.9762231997579212,0.9856264988546264,0.9774153074027604,0.9719145794177552,0.9858038293736002,0.9936224489795918,0.9641257104435242,0.9777199892405344,0.9854522454142948,0.9685055788901852,0.9809514175081142
experiment #115,Decision Tree,0.980169971671388,0.9709956876171152,0.9833047011548648,0.9835234474017744,0.9584383663375275,0.9781798763841254,0.9897959183673468,0.9649159331476754,0.979639788574856,0.9866497139224412,0.9621273400542396,0.9781640455956324
experiment #116,SVM,0.9490084985835694,0.9226207853998482,0.9379905496217308,0.9376498800959232,0.8972861151593634,0.9198317616667204,0.9974489795918368,0.8989036445225971,0.9186495912047868,0.9666254635352288,0.8985637154254795,0.9184275630004484
experiment #116,Decision Tree,0.980169971671388,0.9542138467038244,0.9649565352913956,0.9810844892812106,0.9357987264450948,0.9550774738583004,0.9923469387755102,0.9445010867404596,0.9541307861433436,0.9866835764109068,0.940467167838075,0.953936829818104
experiment #117,SVM,0.980169971671388,0.977188026323299,0.9850397441228966,0.979874213836478,0.97266645224807,0.9849605810795312,0.9936224489795918,0.9653335551793965,0.9777398188795446,0.986700443318556,0.9697998077360996,0.9801977480645518
